A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
99,76,38,49,68,99,69,99,99,10,99,49,1,0,1
99,41,0,49,53,49,52,99,0,0,0,49,0,0,1
99,16,9,49,53,37,7,99,99,8,0,49,9,0,1
99,12,1,0,99,37,0,99,99,1,99,49,41,0,1
99,30,10,49,91,86,25,99,0,0,99,49,0,0,1
99,37,6,49,99,37,0,99,99,7,99,49,23,0,1
99,37,17,49,91,37,12,99,99,14,99,49,0,0,1
99,38,20,49,91,86,34,99,99,20,99,49,19,0,1
99,11,37,49,53,37,10,99,0,0,99,49,0,0,1
0,8,0,49,76,86,1,99,99,16,0,49,3,0,1
99,12,0,49,7,86,2,99,0,0,99,49,0,0,1
0,54,44,49,38,37,7,99,99,4,99,49,7,0,1
0,16,45,49,53,49,16,99,99,2,0,49,3,0,1
99,10,16,0,60,37,7,99,99,1,99,49,3,0,1
99,12,38,49,91,37,2,99,0,0,0,49,4,0,1
99,60,33,49,0,0,50,99,99,16,99,49,1,0,1
99,6,19,49,22,37,1,99,0,0,0,49,3,0,1
99,34,15,0,22,37,0,99,99,14,99,49,15,0,1
99,36,35,49,99,37,8,99,99,8,0,49,25,0,1
0,70,17,49,38,37,13,99,99,5,0,49,0,0,1
99,9,19,49,60,37,5,99,0,0,0,0,5,0,1
99,14,14,49,53,49,0,99,0,0,99,49,7,0,1
0,33,3,49,53,37,6,99,99,16,0,49,0,0,1
0,7,15,0,53,86,10,99,0,0,0,49,11,0,1
0,13,38,49,76,37,1,99,99,7,99,49,0,0,1
99,38,21,49,76,37,0,99,99,1,0,49,9,0,1
99,13,0,49,53,24,7,0,0,0,99,0,0,0,1
0,14,2,0,76,37,5,99,99,2,99,49,3,0,1
0,24,18,49,68,12,7,99,99,7,99,49,4,0,1
0,39,26,0,76,86,27,99,99,20,0,49,0,2,1
0,34,18,49,68,37,17,99,0,0,99,49,0,3,1
0,17,10,49,99,86,3,99,0,0,0,49,17,0,1
99,26,14,49,99,37,17,99,99,4,99,49,14,2,1
99,20,5,49,91,86,17,99,99,13,0,49,19,0,1
99,80,19,49,68,99,45,99,99,1,99,49,0,0,1
0,7,33,49,60,37,5,99,99,8,99,49,1,0,1
99,56,53,49,53,37,29,99,99,13,0,49,0,0,1
99,29,9,49,45,37,14,99,99,8,0,49,10,0,1
0,10,10,49,38,37,0,99,0,0,0,49,4,0,1
99,31,15,49,99,86,19,0,0,0,99,0,35,0,1
0,66,74,49,15,49,34,99,99,19,0,49,0,6,1
99,21,3,49,45,37,3,99,99,4,99,49,19,0,1
99,8,22,49,60,86,5,99,99,10,0,49,3,2,1
99,37,21,49,45,37,4,99,99,7,99,49,5,1,1
0,40,22,49,76,37,1,99,99,4,99,49,7,0,1
99,22,53,49,53,86,18,99,99,16,0,49,0,2,1
99,36,11,49,60,37,13,99,99,20,0,49,18,1,1
99,17,21,49,53,37,3,99,99,4,0,49,0,0,1
0,21,1,49,76,37,2,99,99,5,0,49,3,0,1
99,88,62,49,0,0,0,99,0,0,99,49,0,0,1
0,8,30,49,91,86,2,99,99,10,0,49,4,0,1
0,17,0,49,53,37,0,0,0,0,0,99,9,0,1
99,19,5,0,60,37,1,99,0,0,99,49,12,1,1
0,22,13,49,53,37,3,99,99,1,99,49,18,0,1
99,30,15,49,15,49,11,99,99,2,0,49,13,0,1
99,59,34,49,68,37,30,99,99,7,0,49,0,0,1
0,63,56,49,30,0,0,99,99,22,0,49,0,0,1
99,27,0,0,53,86,11,99,99,1,99,49,21,7,1
0,10,41,49,53,86,20,99,0,0,0,49,16,0,1
99,14,39,49,99,86,1,99,99,1,0,49,4,0,1
0,27,1,49,91,37,0,99,0,0,0,49,21,11,1
99,15,5,49,7,86,6,99,99,8,0,49,9,0,1
99,34,0,0,53,37,5,0,0,0,99,49,11,0,1
0,15,1,49,76,86,4,99,99,1,0,49,0,0,1
99,13,10,49,45,37,4,99,99,1,0,49,12,0,1
0,49,2,49,76,86,9,99,99,1,0,49,16,0,1
99,20,5,49,60,37,13,99,99,7,99,49,4,0,1
99,3,2,49,53,37,6,99,99,7,99,49,17,0,1
99,28,19,49,76,86,19,99,99,17,99,49,20,0,1
99,24,1,49,53,37,6,99,99,16,0,49,1,0,1
99,41,3,49,99,37,8,99,0,0,0,49,25,0,1
99,24,6,49,53,86,15,99,0,0,0,49,12,0,1
99,8,1,49,76,37,6,99,99,2,99,49,3,0,1
99,56,0,49,99,86,0,99,0,0,0,49,0,2,1
0,86,0,49,53,37,0,0,0,0,0,99,9,0,1
99,42,0,49,15,86,17,99,0,0,0,49,19,0,1
99,45,1,49,15,86,17,99,0,0,99,49,15,0,1
0,13,41,49,99,86,1,99,99,2,99,49,14,0,1
99,13,40,49,15,37,12,99,99,13,0,49,2,0,1
0,5,31,49,38,37,4,99,0,0,99,49,0,0,1
99,26,57,49,7,37,10,99,99,13,0,49,12,0,1
99,68,5,49,76,37,0,99,0,0,99,49,12,0,1
0,76,49,49,0,0,0,99,99,16,99,49,0,1,1
99,51,22,49,76,86,20,99,0,0,99,49,17,0,1
99,9,32,49,53,37,5,99,99,4,99,49,1,0,1
99,51,26,49,60,86,53,99,99,17,0,49,0,0,1
99,14,5,49,76,37,8,99,99,4,99,49,0,0,1
0,69,58,49,76,37,38,99,0,0,99,49,1,10,1
0,16,43,49,91,86,12,99,99,8,0,49,19,0,1
99,43,16,49,76,37,15,99,0,0,0,0,0,0,1
99,19,6,0,53,37,3,99,99,7,99,49,7,5,1
99,65,24,49,45,37,48,99,99,8,99,49,17,1,1
99,62,40,49,0,0,17,99,99,7,0,49,0,8,1
99,55,35,49,15,49,0,99,99,16,0,49,0,1,1
99,20,7,0,38,37,6,99,99,4,99,49,18,0,1
99,24,22,49,91,37,10,99,99,11,0,49,16,1,1
0,29,1,49,91,37,1,0,0,0,0,49,14,0,1
99,17,2,49,53,49,0,99,0,0,0,49,17,0,1
0,22,3,49,53,37,8,99,99,7,99,49,14,1,1
0,6,1,99,91,0,34,0,0,0,99,0,14,0,1
99,9,24,49,53,37,5,99,99,4,0,49,9,1,1
99,5,77,99,0,74,0,0,0,0,99,99,22,99,1
99,50,8,49,45,49,8,99,99,17,99,49,20,2,1
99,65,30,49,68,86,24,99,99,4,0,49,0,0,1
99,0,14,0,60,37,6,99,99,2,99,49,5,0,1
99,8,33,49,76,37,3,99,0,0,99,49,2,0,1
0,47,37,49,76,37,17,99,99,10,99,49,0,0,1
0,9,26,49,22,37,5,99,99,1,0,49,7,0,1
0,11,8,49,15,49,1,99,99,5,0,0,3,0,1
0,13,24,49,53,37,0,0,0,0,0,49,7,0,0
0,23,6,0,22,37,4,0,0,0,99,49,13,0,0
99,5,22,49,15,37,0,0,0,0,0,49,2,0,0
99,20,3,0,7,86,10,0,0,0,0,49,8,0,0
0,62,25,49,22,86,23,99,99,4,99,49,4,0,0
99,10,4,0,53,86,4,99,99,4,99,49,6,0,0
99,66,9,49,53,37,8,0,0,0,99,49,15,0,0
99,9,4,0,22,37,0,0,0,0,0,49,6,0,0
0,21,2,49,38,37,0,0,0,0,0,49,12,0,0
0,8,2,0,38,37,2,99,0,0,99,49,7,0,0
99,40,4,49,7,37,0,0,0,0,0,49,8,0,0
99,41,6,49,22,37,0,99,0,0,0,49,7,0,0
99,8,33,49,38,37,2,0,0,0,0,49,3,0,0
99,13,0,0,22,37,0,0,0,0,0,49,9,0,0
0,9,37,0,99,86,0,0,0,0,99,49,7,0,0
99,57,4,0,53,86,32,99,0,0,99,49,9,0,0
99,43,4,49,45,37,48,0,99,1,99,49,17,0,0
99,90,67,0,0,0,0,0,99,2,0,49,0,0,0
99,13,5,0,38,37,1,0,0,0,99,49,5,0,0
99,73,1,49,53,37,2,99,99,4,99,49,8,0,0
99,14,1,0,53,37,0,0,99,2,0,49,6,0,0
0,16,6,0,53,37,0,0,0,0,0,49,6,0,0
0,23,7,0,68,86,6,0,0,0,0,49,12,0,0
99,27,12,49,22,37,1,0,0,0,99,49,11,0,0
99,10,14,0,15,86,0,0,0,0,0,49,6,0,0
99,21,0,0,22,37,0,0,0,0,0,49,10,2,0
99,7,6,0,53,37,8,0,0,0,99,49,5,0,0
99,20,11,0,76,86,17,0,99,2,99,49,18,0,0
0,35,8,49,15,86,0,0,0,0,0,49,12,0,0
99,43,17,49,15,49,7,0,0,0,99,49,6,0,0
0,14,2,49,60,37,0,0,99,1,99,49,11,0,0
0,40,12,49,15,49,1,0,0,0,0,0,57,0,0
0,8,0,49,76,37,0,0,0,0,99,49,18,0,0
99,11,40,49,15,37,1,99,0,0,99,49,4,0,0
99,26,10,49,0,0,0,0,99,7,0,49,8,0,0
99,52,93,0,0,0,0,99,0,0,99,49,0,0,0
0,24,4,49,60,86,0,0,99,4,0,49,0,0,0
99,23,4,49,60,37,6,0,0,0,0,49,9,0,0
99,33,15,49,76,37,12,0,0,0,0,49,22,0,0
99,17,1,49,22,86,12,0,0,0,99,49,16,0,0
99,23,12,49,53,37,0,0,0,0,0,49,10,0,0
99,13,0,49,22,37,3,0,99,16,0,0,0,0,0
0,31,13,49,0,0,0,0,99,8,0,49,0,0,0
0,7,35,49,7,37,1,0,0,0,0,49,3,0,0
99,38,17,49,15,49,0,0,0,0,0,49,27,0,0
99,14,3,49,53,37,1,0,0,0,99,0,13,0,0
0,16,48,49,76,86,5,0,0,0,0,49,13,0,0
99,12,2,0,0,0,0,0,0,0,0,49,4,0,0
99,20,4,49,22,86,0,0,0,0,99,0,6,0,0
99,43,14,49,38,37,0,0,0,0,0,49,5,0,0
99,22,51,49,7,37,0,0,0,0,0,49,0,0,0
0,6,35,0,76,86,0,0,0,0,0,49,16,0,0
0,37,5,49,38,37,0,0,0,0,0,49,0,0,0
99,26,0,0,45,37,0,0,0,0,0,49,0,0,0
0,5,33,49,38,37,6,0,99,14,99,49,0,0,0
0,37,14,49,53,37,10,0,0,0,0,49,23,0,0
99,7,0,0,0,0,0,0,99,5,0,49,2,0,0
99,12,31,49,38,37,0,0,0,0,0,49,0,0,0
99,27,8,49,53,37,4,0,0,0,99,49,13,0,0
99,36,35,0,22,37,0,0,0,0,0,49,7,0,0
99,49,22,49,53,37,3,0,0,0,99,49,0,0,0
99,20,14,0,15,86,19,99,99,2,99,49,3,0,0
99,29,0,49,15,49,13,0,0,0,99,0,20,0,0
99,10,2,0,53,37,6,0,0,0,99,0,11,0,0
0,37,5,49,0,0,0,0,0,0,0,49,3,0,0
99,12,2,49,60,37,1,0,99,1,0,49,20,0,0
99,22,1,49,53,37,1,0,0,0,0,49,10,0,0
0,10,1,0,68,12,3,0,0,0,0,49,12,0,0
99,16,47,0,0,0,0,0,0,0,0,49,9,0,0
0,18,9,0,53,37,0,0,0,0,0,0,3,0,0
99,40,2,49,0,0,0,99,0,0,0,49,6,0,0
0,36,15,49,53,37,0,0,0,0,0,49,7,0,0
99,8,2,49,0,0,0,0,99,4,0,49,17,0,0
99,8,35,0,22,86,2,99,0,0,99,49,6,0,0
0,12,4,0,0,0,11,0,0,0,0,49,13,0,0
99,7,12,0,0,0,0,0,0,0,99,49,8,0,0
0,4,4,49,76,37,0,0,99,1,0,49,5,0,0
0,3,10,49,76,37,0,0,0,0,0,49,5,0,0
99,31,14,49,7,49,43,99,0,0,99,49,9,0,0
99,46,5,49,53,37,8,99,0,0,99,49,6,0,0
99,2,24,49,68,37,3,0,0,0,0,49,29,0,0
99,7,1,0,53,37,0,0,99,1,0,49,9,0,0
99,35,2,49,68,37,0,0,0,0,0,49,5,0,0
99,50,14,49,99,49,0,0,0,0,99,49,25,0,0
99,30,8,49,53,37,3,0,0,0,0,49,22,0,0
0,28,5,49,7,37,1,0,0,0,99,49,0,0,0
99,43,10,49,15,49,3,99,0,0,0,49,0,0,0
99,6,0,49,7,37,0,0,0,0,99,0,13,0,0
99,13,8,49,0,0,0,0,0,0,99,49,4,4,0
99,6,0,49,38,37,0,0,0,0,0,49,13,0,0
99,6,36,0,38,37,0,99,0,0,0,49,5,0,0
0,20,5,49,45,37,6,99,0,0,0,0,18,0,0
99,13,2,49,15,37,5,0,99,1,99,49,19,0,0
99,72,45,0,53,86,17,99,0,0,0,49,5,0,0
99,32,11,49,99,86,13,99,0,0,99,49,33,0,0
0,64,15,0,0,0,17,0,0,0,99,49,0,0,0
0,58,0,49,0,0,0,0,0,0,99,0,3,0,0
99,40,4,0,60,37,0,0,0,0,0,49,0,0,0
0,29,2,49,22,49,3,99,99,4,99,49,10,0,0
99,25,8,49,91,86,7,0,0,0,99,0,16,0,0
99,34,14,49,53,49,17,99,0,0,99,0,13,0,0
99,18,5,49,60,37,0,0,0,0,0,49,4,0,0
0,23,2,49,60,37,0,0,0,0,99,49,14,0,0
0,13,6,49,30,24,0,0,99,1,0,49,9,0,0
99,5,10,49,22,37,0,0,0,0,99,49,7,0,0
0,22,12,49,15,49,1,99,0,0,99,49,8,0,0
99,31,0,49,53,37,0,0,0,0,0,99,9,0,0
99,14,2,49,53,86,0,99,0,0,0,49,8,0,0
99,4,0,49,76,37,1,0,99,5,0,49,7,0,0
0,3,1,49,0,0,0,0,99,1,0,49,7,0,0
99,28,8,49,38,37,6,0,99,2,99,49,35,0,0
0,11,6,0,30,24,0,0,0,0,0,49,7,0,0
0,17,7,49,53,86,9,99,0,0,99,49,17,0,0
99,10,17,0,30,37,1,0,0,0,0,49,6,0,0
0,39,28,0,22,37,0,0,99,2,0,49,9,0,0
99,23,4,49,53,86,0,0,99,2,99,49,19,0,0
99,40,1,0,45,37,1,0,0,0,99,49,6,0,0
99,30,19,0,53,37,5,0,0,0,99,49,2,0,0
99,16,42,49,22,37,7,99,99,2,99,49,5,0,0
0,19,8,0,0,0,0,0,0,0,99,49,8,0,0
99,29,7,49,53,37,5,0,0,0,0,99,5,0,0
99,33,19,49,15,49,17,0,0,0,0,49,10,0,0
99,8,1,49,22,37,1,0,0,0,0,49,13,0,0
99,9,24,49,53,37,1,0,0,0,0,49,0,0,0
99,23,16,49,45,37,6,0,99,1,99,49,22,0,0
99,43,7,49,15,49,2,99,0,0,0,49,27,0,0
99,22,4,49,22,37,1,99,0,0,0,0,13,0,0
99,26,10,0,15,49,24,0,0,0,0,49,0,0,0
99,20,5,49,60,37,7,0,99,1,99,49,4,0,0
99,40,7,0,99,86,34,99,0,0,99,49,8,0,0
0,15,8,0,15,49,15,0,0,0,0,49,9,0,0
0,82,21,49,0,0,0,0,0,0,0,0,0,0,0
99,32,2,49,22,37,5,0,0,0,99,49,11,0,0
99,99,19,49,53,37,1,99,0,0,0,49,0,0,0
99,23,45,49,7,86,1,0,0,0,0,49,11,0,0
0,4,1,49,15,37,0,0,99,8,99,49,11,0,0
0,3,0,49,38,37,3,0,99,2,99,49,15,0,0
99,15,31,49,38,37,0,0,0,0,99,49,0,0,0
99,16,47,0,38,37,0,0,0,0,99,49,5,0,0
99,29,4,49,60,37,4,0,0,0,0,49,5,0,0
99,13,2,49,45,37,1,0,0,0,99,0,15,0,0
99,31,11,49,53,86,28,0,0,0,99,49,0,0,0
99,3,9,49,38,37,2,0,99,1,0,49,3,0,0
0,11,41,49,53,37,0,0,0,0,99,49,8,0,0
0,22,13,49,53,37,0,0,99,1,99,49,1,0,0
99,12,42,49,53,37,11,0,99,2,99,49,8,0,0
99,31,8,49,15,37,3,0,0,0,99,49,10,0,0
99,22,12,49,38,37,0,0,0,0,99,49,4,0,0
0,8,19,49,15,86,1,0,0,0,0,49,3,0,0
99,4,0,49,53,37,0,0,0,0,0,49,6,0,0
99,30,17,0,15,49,3,0,0,0,99,49,23,0,0
0,64,1,49,15,49,3,99,0,0,99,49,12,2,0
99,3,2,49,45,37,0,99,0,0,0,0,9,0,0
99,30,9,49,15,49,8,0,0,0,99,49,11,0,0
99,6,4,0,68,12,0,0,0,0,0,49,4,0,0
99,45,1,49,45,37,37,99,0,0,0,0,19,0,0
99,37,6,49,22,37,1,0,0,0,99,49,14,0,0
99,26,2,0,38,37,12,0,0,0,99,49,15,0,0
99,26,3,49,0,0,0,0,99,1,0,49,4,0,0
0,34,16,49,0,0,0,0,0,0,0,49,7,0,0
99,27,26,49,68,49,5,99,0,0,99,0,20,0,0
0,27,11,49,0,0,10,0,99,2,99,49,9,0,0
99,56,10,0,0,0,5,0,0,0,0,49,8,0,0
0,26,5,49,0,0,0,0,99,2,99,49,9,0,0
99,36,2,49,53,37,1,0,99,2,0,49,11,0,0
99,6,8,49,53,74,3,0,99,2,99,49,7,0,0
99,9,39,49,53,37,6,0,0,0,99,49,6,0,0
99,28,8,49,7,86,19,0,0,0,99,49,14,0,0
99,7,20,49,7,37,1,0,0,0,0,49,5,0,0
0,3,26,49,76,37,0,0,99,1,99,49,0,0,0
0,8,2,49,60,37,5,0,0,0,0,49,10,0,0
0,13,2,49,53,37,6,0,99,2,99,49,9,0,0
99,17,11,49,53,86,7,0,99,1,99,49,20,0,0
99,10,35,0,68,86,4,0,0,0,0,49,12,0,0
0,52,5,49,30,24,0,99,0,0,99,49,4,0,0
99,10,18,49,76,37,1,99,99,1,0,49,7,0,0
99,19,1,49,22,0,0,0,0,0,0,49,4,0,0
0,36,17,49,91,37,46,99,0,0,99,49,48,0,0
0,2,1,49,53,37,3,0,0,0,0,49,5,0,0
99,12,5,49,22,37,0,0,0,0,99,49,17,0,0
0,56,22,49,15,49,10,0,0,0,99,49,3,0,0
99,12,7,49,15,37,0,0,0,0,0,49,7,0,0
99,57,5,49,7,37,13,0,0,0,99,49,0,0,0
99,33,1,0,60,37,1,0,0,0,99,49,15,0,0
0,42,6,0,53,37,0,0,0,0,99,49,7,0,0
99,14,2,49,15,86,0,0,0,0,99,49,10,0,0
99,38,17,49,0,0,0,0,99,2,0,49,0,0,0
99,20,2,49,38,37,1,99,0,0,99,49,9,0,0
99,27,10,49,7,37,0,0,0,0,99,49,5,0,0
99,8,5,0,91,37,6,99,0,0,99,49,4,0,0
99,25,7,49,53,37,0,0,0,0,0,49,14,0,0
99,20,44,49,38,49,0,0,0,0,99,49,35,0,0
99,30,22,49,38,37,0,99,0,0,99,49,21,0,0
99,12,8,49,22,37,2,0,0,0,0,49,8,0,0
99,25,10,49,53,37,8,0,99,2,99,49,7,0,0
99,26,1,49,53,49,2,99,0,0,99,0,15,0,0
99,3,11,49,60,37,0,0,99,1,0,49,0,0,0
99,17,10,49,53,37,4,0,99,1,0,49,0,0,0
0,20,1,49,45,86,0,0,99,1,99,49,13,0,0
0,8,2,0,53,37,3,0,99,1,0,49,99,0,0
99,25,5,49,7,37,2,0,0,0,99,0,0,0,0
0,54,2,49,38,37,1,0,0,0,99,49,11,0,0
99,25,5,0,60,37,0,0,0,0,0,0,7,0,0
0,33,1,49,0,0,0,0,99,14,0,49,9,0,0
99,33,64,49,60,37,0,0,0,0,0,49,15,3,0
99,55,2,49,0,0,0,0,0,0,0,49,7,0,0
0,14,2,49,76,37,1,0,99,1,99,49,9,0,0
99,26,2,49,22,37,0,0,0,0,0,49,18,1,0
0,26,10,0,30,24,0,0,0,0,0,49,7,0,0
99,4,11,49,15,37,1,0,0,0,99,49,6,0,0
99,46,24,0,53,37,5,0,0,0,0,49,7,0,0
99,3,0,0,38,37,0,0,0,0,0,49,2,0,0
0,18,7,49,30,24,0,0,0,0,99,49,13,0,0
99,13,40,0,45,37,5,0,0,0,99,49,0,3,0
0,19,4,49,0,0,0,0,99,1,0,49,4,0,0
99,26,0,0,7,37,14,0,0,0,99,49,22,0,0
0,13,30,49,76,37,6,99,99,14,0,49,3,0,0
0,13,4,49,76,37,0,0,0,0,99,49,5,0,0
99,14,44,49,53,37,0,0,99,2,0,49,0,5,0
0,23,3,0,99,37,3,0,0,0,0,49,13,0,0
0,27,21,49,7,37,4,0,0,0,0,49,13,0,0
99,8,38,49,53,49,2,0,99,2,99,49,9,0,0
99,32,8,49,60,37,0,0,99,2,0,49,10,0,0
99,7,0,49,76,37,2,0,0,0,0,49,7,0,0
0,29,10,0,38,37,6,0,0,0,0,49,8,0,0
99,17,3,49,38,37,1,0,0,0,0,49,9,0,0
99,27,7,0,22,0,0,0,0,0,0,49,5,0,0
